🎯 Sovereign Watcher: Monitoring for Prop Firm One-Shot Entry...
📊 Target Entry: $69,050
🛡️ Stop Loss: $68,650
🚀 Take Profit: $73,750
📦 Position Size: 0.75 BTC
--------------------------------------------------
⌛ 05:38:09 | BTC: $69,672.07 | Distance to Entry: $622.07
⌛ 05:38:39 | BTC: $69,663.21 | Distance to Entry: $613.21
⌛ 05:39:09 | BTC: $69,663.77 | Distance to Entry: $613.77
⌛ 05:39:39 | BTC: $69,666.21 | Distance to Entry: $616.21
⌛ 05:40:10 | BTC: $69,674.12 | Distance to Entry: $624.12
⌛ 05:40:40 | BTC: $69,659.74 | Distance to Entry: $609.74
⌛ 05:41:10 | BTC: $69,659.75 | Distance to Entry: $609.75
⌛ 22:16:07 | BTC: $69,522.55 | Distance to Entry: $472.55
⌛ 22:16:37 | BTC: $69,542.48 | Distance to Entry: $492.48
⌛ 22:17:07 | BTC: $69,559.78 | Distance to Entry: $509.78
⌛ 22:17:37 | BTC: $69,573.88 | Distance to Entry: $523.88
⌛ 22:18:07 | BTC: $69,555.95 | Distance to Entry: $505.95
⌛ 22:18:37 | BTC: $69,576.84 | Distance to Entry: $526.84
⌛ 22:19:07 | BTC: $69,565.15 | Distance to Entry: $515.15
⌛ 22:19:38 | BTC: $69,543.72 | Distance to Entry: $493.72
⌛ 22:20:08 | BTC: $69,485.78 | Distance to Entry: $435.78
⌛ 22:20:38 | BTC: $69,499.99 | Distance to Entry: $449.99
⌛ 22:21:08 | BTC: $69,456.45 | Distance to Entry: $406.45
⌛ 22:21:38 | BTC: $69,466.68 | Distance to Entry: $416.68
⌛ 22:22:08 | BTC: $69,371.24 | Distance to Entry: $321.24
⌛ 22:22:38 | BTC: $69,403.23 | Distance to Entry: $353.23
⌛ 22:23:08 | BTC: $69,394.67 | Distance to Entry: $344.67
⌛ 22:23:38 | BTC: $69,401.69 | Distance to Entry: $351.69
⌛ 22:24:09 | BTC: $69,385.53 | Distance to Entry: $335.53
⌛ 22:24:39 | BTC: $69,377.92 | Distance to Entry: $327.92
⌛ 22:25:09 | BTC: $69,396.78 | Distance to Entry: $346.78
⌛ 22:25:39 | BTC: $69,386.40 | Distance to Entry: $336.40
⌛ 22:26:09 | BTC: $69,425.00 | Distance to Entry: $375.00
⌛ 22:26:39 | BTC: $69,428.00 | Distance to Entry: $378.00
⌛ 22:27:09 | BTC: $69,440.21 | Distance to Entry: $390.21
⌛ 22:27:39 | BTC: $69,441.43 | Distance to Entry: $391.43
⌛ 22:28:09 | BTC: $69,435.99 | Distance to Entry: $385.99
⌛ 22:28:40 | BTC: $69,434.98 | Distance to Entry: $384.98
⌛ 22:29:10 | BTC: $69,440.72 | Distance to Entry: $390.72
⌛ 22:29:40 | BTC: $69,439.62 | Distance to Entry: $389.62
⌛ 22:30:10 | BTC: $69,429.91 | Distance to Entry: $379.91
⌛ 22:30:40 | BTC: $69,449.24 | Distance to Entry: $399.24
⌛ 22:31:10 | BTC: $69,440.23 | Distance to Entry: $390.23
⌛ 22:31:40 | BTC: $69,378.13 | Distance to Entry: $328.13
⌛ 22:32:10 | BTC: $69,403.76 | Distance to Entry: $353.76
⌛ 22:32:40 | BTC: $69,415.47 | Distance to Entry: $365.47
⌛ 22:33:10 | BTC: $69,373.99 | Distance to Entry: $323.99
⌛ 22:33:41 | BTC: $69,358.00 | Distance to Entry: $308.00
⌛ 22:34:11 | BTC: $69,365.71 | Distance to Entry: $315.71
⌛ 22:34:41 | BTC: $69,411.24 | Distance to Entry: $361.24
⌛ 22:35:11 | BTC: $69,419.53 | Distance to Entry: $369.53
⌛ 22:35:41 | BTC: $69,369.85 | Distance to Entry: $319.85
⌛ 22:36:11 | BTC: $69,349.15 | Distance to Entry: $299.15
⌛ 22:36:41 | BTC: $69,348.00 | Distance to Entry: $298.00
⌛ 22:37:11 | BTC: $69,382.26 | Distance to Entry: $332.26
⌛ 22:37:42 | BTC: $69,386.01 | Distance to Entry: $336.01
⌛ 22:38:12 | BTC: $69,396.36 | Distance to Entry: $346.36
⌛ 22:38:42 | BTC: $69,400.89 | Distance to Entry: $350.89
⌛ 22:39:12 | BTC: $69,464.17 | Distance to Entry: $414.17
⌛ 22:39:42 | BTC: $69,503.97 | Distance to Entry: $453.97
⌛ 22:40:12 | BTC: $69,478.00 | Distance to Entry: $428.00
⌛ 22:40:42 | BTC: $69,503.01 | Distance to Entry: $453.01
⌛ 22:41:13 | BTC: $69,506.05 | Distance to Entry: $456.05
⌛ 22:41:43 | BTC: $69,519.30 | Distance to Entry: $469.30
⌛ 22:42:13 | BTC: $69,502.02 | Distance to Entry: $452.02
⌛ 22:42:43 | BTC: $69,491.50 | Distance to Entry: $441.50
⌛ 22:43:13 | BTC: $69,479.90 | Distance to Entry: $429.90
⌛ 22:43:43 | BTC: $69,494.03 | Distance to Entry: $444.03
⌛ 22:44:13 | BTC: $69,499.98 | Distance to Entry: $449.98
⌛ 22:44:43 | BTC: $69,458.94 | Distance to Entry: $408.94
⌛ 22:45:13 | BTC: $69,494.01 | Distance to Entry: $444.01
⌛ 22:45:43 | BTC: $69,511.55 | Distance to Entry: $461.55
⌛ 22:46:14 | BTC: $69,521.00 | Distance to Entry: $471.00
⌛ 22:46:44 | BTC: $69,531.70 | Distance to Entry: $481.70
⌛ 22:47:14 | BTC: $69,523.06 | Distance to Entry: $473.06
⌛ 22:47:44 | BTC: $69,489.91 | Distance to Entry: $439.91
⌛ 22:48:14 | BTC: $69,485.77 | Distance to Entry: $435.77
⌛ 22:48:44 | BTC: $69,438.03 | Distance to Entry: $388.03
⌛ 22:49:14 | BTC: $69,427.81 | Distance to Entry: $377.81
⌛ 22:49:44 | BTC: $69,407.11 | Distance to Entry: $357.11
⌛ 22:50:14 | BTC: $69,411.25 | Distance to Entry: $361.25
⌛ 22:50:45 | BTC: $69,434.06 | Distance to Entry: $384.06
⌛ 22:51:15 | BTC: $69,430.10 | Distance to Entry: $380.10
⌛ 22:51:45 | BTC: $69,428.10 | Distance to Entry: $378.10
⌛ 22:52:15 | BTC: $69,465.06 | Distance to Entry: $415.06
⌛ 22:52:45 | BTC: $69,477.63 | Distance to Entry: $427.63
⌛ 22:53:15 | BTC: $69,479.27 | Distance to Entry: $429.27
⌛ 22:53:45 | BTC: $69,489.86 | Distance to Entry: $439.86
⌛ 22:54:15 | BTC: $69,486.99 | Distance to Entry: $436.99
⌛ 22:54:46 | BTC: $69,472.87 | Distance to Entry: $422.87
⌛ 22:55:16 | BTC: $69,485.71 | Distance to Entry: $435.71
⌛ 22:55:46 | BTC: $69,484.53 | Distance to Entry: $434.53
⌛ 22:56:16 | BTC: $69,506.46 | Distance to Entry: $456.46
⌛ 22:56:46 | BTC: $69,512.01 | Distance to Entry: $462.01
⌛ 22:57:16 | BTC: $69,506.47 | Distance to Entry: $456.47
⌛ 22:57:46 | BTC: $69,523.01 | Distance to Entry: $473.01
⌛ 22:58:16 | BTC: $69,515.54 | Distance to Entry: $465.54
⌛ 22:58:46 | BTC: $69,514.52 | Distance to Entry: $464.52
⌛ 22:59:17 | BTC: $69,510.61 | Distance to Entry: $460.61
⌛ 22:59:47 | BTC: $69,499.99 | Distance to Entry: $449.99
⌛ 23:00:17 | BTC: $69,463.21 | Distance to Entry: $413.21
⌛ 23:00:47 | BTC: $69,477.49 | Distance to Entry: $427.49
⌛ 23:01:17 | BTC: $69,465.00 | Distance to Entry: $415.00
⌛ 23:01:47 | BTC: $69,497.01 | Distance to Entry: $447.01
⌛ 23:02:17 | BTC: $69,497.26 | Distance to Entry: $447.26
⌛ 23:02:47 | BTC: $69,506.45 | Distance to Entry: $456.45
⌛ 23:03:18 | BTC: $69,494.05 | Distance to Entry: $444.05
⌛ 23:03:48 | BTC: $69,481.63 | Distance to Entry: $431.63
⌛ 23:04:18 | BTC: $69,531.30 | Distance to Entry: $481.30
⌛ 23:04:48 | BTC: $69,522.00 | Distance to Entry: $472.00
⌛ 23:05:18 | BTC: $69,532.08 | Distance to Entry: $482.08
⌛ 23:05:48 | BTC: $69,497.32 | Distance to Entry: $447.32
⌛ 23:06:18 | BTC: $69,504.31 | Distance to Entry: $454.31
⌛ 23:06:48 | BTC: $69,510.07 | Distance to Entry: $460.07
⌛ 23:07:19 | BTC: $69,503.33 | Distance to Entry: $453.33
⌛ 23:07:49 | BTC: $69,498.97 | Distance to Entry: $448.97
⌛ 23:08:19 | BTC: $69,510.60 | Distance to Entry: $460.60
⌛ 23:08:49 | BTC: $69,518.88 | Distance to Entry: $468.88
⌛ 23:09:19 | BTC: $69,502.72 | Distance to Entry: $452.72
⌛ 23:09:49 | BTC: $69,537.00 | Distance to Entry: $487.00
⌛ 23:10:19 | BTC: $69,539.94 | Distance to Entry: $489.94
⌛ 23:10:49 | BTC: $69,541.98 | Distance to Entry: $491.98
⌛ 23:11:19 | BTC: $69,530.35 | Distance to Entry: $480.35
⌛ 23:11:50 | BTC: $69,528.00 | Distance to Entry: $478.00
⌛ 23:12:20 | BTC: $69,514.49 | Distance to Entry: $464.49
⌛ 23:12:50 | BTC: $69,513.99 | Distance to Entry: $463.99
⌛ 23:13:20 | BTC: $69,489.14 | Distance to Entry: $439.14
⌛ 23:13:50 | BTC: $69,477.99 | Distance to Entry: $427.99
⌛ 23:14:20 | BTC: $69,469.05 | Distance to Entry: $419.05
⌛ 23:14:50 | BTC: $69,462.02 | Distance to Entry: $412.02
⌛ 23:15:20 | BTC: $69,462.01 | Distance to Entry: $412.01
⌛ 23:15:50 | BTC: $69,469.20 | Distance to Entry: $419.20
⌛ 23:16:21 | BTC: $69,497.17 | Distance to Entry: $447.17
⌛ 23:16:51 | BTC: $69,520.00 | Distance to Entry: $470.00
⌛ 23:17:21 | BTC: $69,506.46 | Distance to Entry: $456.46
⌛ 23:17:51 | BTC: $69,523.01 | Distance to Entry: $473.01
⌛ 23:18:21 | BTC: $69,523.64 | Distance to Entry: $473.64
⌛ 23:18:51 | BTC: $69,539.11 | Distance to Entry: $489.11
⌛ 23:19:21 | BTC: $69,535.61 | Distance to Entry: $485.61
⌛ 23:19:51 | BTC: $69,547.86 | Distance to Entry: $497.86
⌛ 23:20:21 | BTC: $69,523.18 | Distance to Entry: $473.18
⌛ 23:20:52 | BTC: $69,538.00 | Distance to Entry: $488.00
⌛ 23:21:22 | BTC: $69,510.96 | Distance to Entry: $460.96
⌛ 23:21:52 | BTC: $69,536.01 | Distance to Entry: $486.01
⌛ 23:22:22 | BTC: $69,547.85 | Distance to Entry: $497.85
⌛ 23:22:52 | BTC: $69,510.00 | Distance to Entry: $460.00
⌛ 23:23:22 | BTC: $69,513.32 | Distance to Entry: $463.32
⌛ 23:23:52 | BTC: $69,505.54 | Distance to Entry: $455.54
⌛ 23:24:22 | BTC: $69,498.19 | Distance to Entry: $448.19
⌛ 23:24:52 | BTC: $69,478.18 | Distance to Entry: $428.18
⌛ 23:25:23 | BTC: $69,468.88 | Distance to Entry: $418.88
⌛ 23:25:53 | BTC: $69,478.00 | Distance to Entry: $428.00
⌛ 23:26:23 | BTC: $69,480.75 | Distance to Entry: $430.75
⌛ 23:26:53 | BTC: $69,492.13 | Distance to Entry: $442.13
⌛ 23:27:23 | BTC: $69,500.99 | Distance to Entry: $450.99
⌛ 23:27:53 | BTC: $69,486.85 | Distance to Entry: $436.85
⌛ 23:28:23 | BTC: $69,501.04 | Distance to Entry: $451.04
⌛ 23:28:53 | BTC: $69,500.00 | Distance to Entry: $450.00
⌛ 23:29:23 | BTC: $69,484.68 | Distance to Entry: $434.68
⌛ 23:29:54 | BTC: $69,445.32 | Distance to Entry: $395.32
⌛ 23:30:24 | BTC: $69,411.83 | Distance to Entry: $361.83
⌛ 23:30:54 | BTC: $69,438.50 | Distance to Entry: $388.50
⌛ 23:31:24 | BTC: $69,420.02 | Distance to Entry: $370.02
⌛ 23:31:54 | BTC: $69,456.43 | Distance to Entry: $406.43
⌛ 23:32:24 | BTC: $69,461.99 | Distance to Entry: $411.99
⌛ 23:32:54 | BTC: $69,453.75 | Distance to Entry: $403.75
⌛ 23:33:24 | BTC: $69,494.00 | Distance to Entry: $444.00
⌛ 23:33:54 | BTC: $69,476.56 | Distance to Entry: $426.56
⌛ 23:34:25 | BTC: $69,382.26 | Distance to Entry: $332.26
⌛ 23:34:55 | BTC: $69,350.02 | Distance to Entry: $300.02
⌛ 23:35:25 | BTC: $69,337.82 | Distance to Entry: $287.82
⌛ 23:35:55 | BTC: $69,298.89 | Distance to Entry: $248.89
⌛ 23:36:25 | BTC: $69,305.55 | Distance to Entry: $255.55
⌛ 23:36:55 | BTC: $69,287.05 | Distance to Entry: $237.05
⌛ 23:37:25 | BTC: $69,299.45 | Distance to Entry: $249.45
⌛ 23:37:55 | BTC: $69,300.65 | Distance to Entry: $250.65
⌛ 23:38:25 | BTC: $69,223.35 | Distance to Entry: $173.35
⌛ 23:38:56 | BTC: $69,262.19 | Distance to Entry: $212.19
⌛ 23:39:26 | BTC: $69,258.06 | Distance to Entry: $208.06
⌛ 23:39:56 | BTC: $69,344.39 | Distance to Entry: $294.39
⌛ 23:40:26 | BTC: $69,322.01 | Distance to Entry: $272.01
⌛ 23:40:56 | BTC: $69,341.19 | Distance to Entry: $291.19
⌛ 23:41:26 | BTC: $69,313.00 | Distance to Entry: $263.00
⌛ 23:41:56 | BTC: $69,335.98 | Distance to Entry: $285.98
⌛ 23:42:26 | BTC: $69,379.19 | Distance to Entry: $329.19
⌛ 23:42:57 | BTC: $69,345.02 | Distance to Entry: $295.02
⌛ 23:43:27 | BTC: $69,373.96 | Distance to Entry: $323.96
⌛ 23:43:57 | BTC: $69,365.70 | Distance to Entry: $315.70
⌛ 23:44:27 | BTC: $69,353.29 | Distance to Entry: $303.29
⌛ 23:44:57 | BTC: $69,377.01 | Distance to Entry: $327.01
⌛ 23:45:27 | BTC: $69,382.26 | Distance to Entry: $332.26
⌛ 23:45:57 | BTC: $69,527.96 | Distance to Entry: $477.96
⌛ 23:46:27 | BTC: $69,638.95 | Distance to Entry: $588.95
⌛ 23:46:57 | BTC: $69,609.97 | Distance to Entry: $559.97
⌛ 23:47:28 | BTC: $69,837.20 | Distance to Entry: $787.20
⌛ 23:47:58 | BTC: $69,846.01 | Distance to Entry: $796.01
⌛ 23:48:28 | BTC: $69,746.59 | Distance to Entry: $696.59
⌛ 23:48:58 | BTC: $69,856.03 | Distance to Entry: $806.03
⌛ 23:49:28 | BTC: $69,934.04 | Distance to Entry: $884.04
⌛ 23:49:58 | BTC: $69,888.19 | Distance to Entry: $838.19
⌛ 23:50:28 | BTC: $69,890.01 | Distance to Entry: $840.01
⌛ 23:50:58 | BTC: $69,903.91 | Distance to Entry: $853.91
⌛ 23:51:28 | BTC: $69,870.79 | Distance to Entry: $820.79
⌛ 23:51:59 | BTC: $69,887.36 | Distance to Entry: $837.36
⌛ 23:52:29 | BTC: $69,876.70 | Distance to Entry: $826.70
⌛ 23:52:59 | BTC: $69,876.29 | Distance to Entry: $826.29
⌛ 23:53:29 | BTC: $69,878.08 | Distance to Entry: $828.08
⌛ 23:53:59 | BTC: $69,884.59 | Distance to Entry: $834.59
⌛ 23:54:29 | BTC: $69,912.61 | Distance to Entry: $862.61
⌛ 23:54:59 | BTC: $69,888.01 | Distance to Entry: $838.01
⌛ 23:55:29 | BTC: $69,899.77 | Distance to Entry: $849.77
⌛ 23:55:59 | BTC: $69,899.79 | Distance to Entry: $849.79
⌛ 23:56:30 | BTC: $69,898.07 | Distance to Entry: $848.07
⌛ 23:57:00 | BTC: $69,903.91 | Distance to Entry: $853.91
⌛ 23:57:30 | BTC: $69,925.00 | Distance to Entry: $875.00
⌛ 23:58:00 | BTC: $69,920.47 | Distance to Entry: $870.47
⌛ 23:58:30 | BTC: $69,941.16 | Distance to Entry: $891.16
⌛ 23:59:00 | BTC: $69,949.19 | Distance to Entry: $899.19
⌛ 23:59:30 | BTC: $69,946.34 | Distance to Entry: $896.34
⌛ 00:00:00 | BTC: $69,925.01 | Distance to Entry: $875.01
⌛ 00:00:30 | BTC: $69,961.84 | Distance to Entry: $911.84
⌛ 00:01:00 | BTC: $69,967.00 | Distance to Entry: $917.00
⌛ 00:01:31 | BTC: $69,957.72 | Distance to Entry: $907.72
⌛ 00:02:01 | BTC: $69,951.80 | Distance to Entry: $901.80
⌛ 00:02:31 | BTC: $70,012.60 | Distance to Entry: $962.60
⌛ 00:03:01 | BTC: $70,026.00 | Distance to Entry: $976.00
⌛ 00:03:31 | BTC: $70,042.03 | Distance to Entry: $992.03
⌛ 00:04:01 | BTC: $70,043.96 | Distance to Entry: $993.96
⌛ 00:04:31 | BTC: $69,990.72 | Distance to Entry: $940.72
⌛ 00:05:01 | BTC: $69,974.28 | Distance to Entry: $924.28
⌛ 00:05:31 | BTC: $69,939.55 | Distance to Entry: $889.55
⌛ 00:06:02 | BTC: $69,960.00 | Distance to Entry: $910.00
⌛ 00:06:32 | BTC: $70,023.44 | Distance to Entry: $973.44
⌛ 00:07:02 | BTC: $70,004.01 | Distance to Entry: $954.01
⌛ 00:07:32 | BTC: $70,200.00 | Distance to Entry: $1,150.00
⌛ 00:08:02 | BTC: $70,318.02 | Distance to Entry: $1,268.02
⌛ 00:08:32 | BTC: $70,300.87 | Distance to Entry: $1,250.87
⌛ 00:09:02 | BTC: $70,280.65 | Distance to Entry: $1,230.65
⌛ 00:09:32 | BTC: $70,276.49 | Distance to Entry: $1,226.49
⌛ 00:10:02 | BTC: $70,239.95 | Distance to Entry: $1,189.95
⌛ 00:10:32 | BTC: $70,364.98 | Distance to Entry: $1,314.98
⌛ 00:11:02 | BTC: $70,341.44 | Distance to Entry: $1,291.44
⌛ 00:11:33 | BTC: $70,313.69 | Distance to Entry: $1,263.69
⌛ 00:12:03 | BTC: $70,317.86 | Distance to Entry: $1,267.86
⌛ 00:12:33 | BTC: $70,313.09 | Distance to Entry: $1,263.09
⌛ 00:13:03 | BTC: $70,321.99 | Distance to Entry: $1,271.99
⌛ 00:13:33 | BTC: $70,375.84 | Distance to Entry: $1,325.84
⌛ 00:14:03 | BTC: $70,411.66 | Distance to Entry: $1,361.66
⌛ 00:14:33 | BTC: $70,371.73 | Distance to Entry: $1,321.73
⌛ 00:15:03 | BTC: $70,400.01 | Distance to Entry: $1,350.01
⌛ 00:15:33 | BTC: $70,368.43 | Distance to Entry: $1,318.43
⌛ 00:16:04 | BTC: $70,373.08 | Distance to Entry: $1,323.08
⌛ 00:16:34 | BTC: $70,412.00 | Distance to Entry: $1,362.00
⌛ 00:17:04 | BTC: $70,485.02 | Distance to Entry: $1,435.02
⌛ 00:17:34 | BTC: $70,442.11 | Distance to Entry: $1,392.11
⌛ 00:18:04 | BTC: $70,405.93 | Distance to Entry: $1,355.93
⌛ 00:18:34 | BTC: $70,367.59 | Distance to Entry: $1,317.59
⌛ 00:19:04 | BTC: $70,312.66 | Distance to Entry: $1,262.66
⌛ 00:19:34 | BTC: $70,263.10 | Distance to Entry: $1,213.10
⌛ 00:20:04 | BTC: $70,283.35 | Distance to Entry: $1,233.35
⌛ 00:20:35 | BTC: $70,259.95 | Distance to Entry: $1,209.95
⌛ 00:21:05 | BTC: $70,233.99 | Distance to Entry: $1,183.99
⌛ 00:21:35 | BTC: $70,245.76 | Distance to Entry: $1,195.76
⌛ 00:22:05 | BTC: $70,230.96 | Distance to Entry: $1,180.96
⌛ 00:22:35 | BTC: $70,227.98 | Distance to Entry: $1,177.98
⌛ 00:23:05 | BTC: $70,155.00 | Distance to Entry: $1,105.00
⌛ 00:23:35 | BTC: $70,192.00 | Distance to Entry: $1,142.00
⌛ 00:24:05 | BTC: $70,160.59 | Distance to Entry: $1,110.59
⌛ 00:24:36 | BTC: $70,170.24 | Distance to Entry: $1,120.24
⌛ 00:25:06 | BTC: $70,179.99 | Distance to Entry: $1,129.99
⌛ 00:25:36 | BTC: $70,260.00 | Distance to Entry: $1,210.00
⌛ 00:26:06 | BTC: $70,234.14 | Distance to Entry: $1,184.14
⌛ 00:26:36 | BTC: $70,213.53 | Distance to Entry: $1,163.53
⌛ 00:27:06 | BTC: $70,196.03 | Distance to Entry: $1,146.03
⌛ 00:27:36 | BTC: $70,157.68 | Distance to Entry: $1,107.68
⌛ 00:28:06 | BTC: $70,166.66 | Distance to Entry: $1,116.66
⌛ 00:28:36 | BTC: $70,230.96 | Distance to Entry: $1,180.96
⌛ 00:29:06 | BTC: $70,164.72 | Distance to Entry: $1,114.72
CCXT Fetch failed for BTC/USD (coinbase GET https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&start=1771132004&end=1771132304). Falling back to yfinance.
⌛ 01:11:47 | BTC: $70,253.94 | Distance to Entry: $1,203.94
⌛ 01:12:17 | BTC: $70,207.02 | Distance to Entry: $1,157.02
⌛ 01:12:47 | BTC: $70,173.01 | Distance to Entry: $1,123.01
⌛ 01:13:17 | BTC: $70,164.73 | Distance to Entry: $1,114.73
⌛ 01:13:47 | BTC: $70,173.01 | Distance to Entry: $1,123.01
⌛ 01:14:17 | BTC: $70,170.14 | Distance to Entry: $1,120.14
⌛ 01:14:48 | BTC: $70,179.83 | Distance to Entry: $1,129.83
⌛ 01:15:18 | BTC: $70,164.73 | Distance to Entry: $1,114.73
⌛ 01:16:28 | BTC: $70,233.20 | Distance to Entry: $1,183.20
⌛ 01:16:58 | BTC: $70,251.66 | Distance to Entry: $1,201.66
⌛ 01:17:28 | BTC: $70,323.61 | Distance to Entry: $1,273.61
⌛ 01:17:58 | BTC: $70,412.01 | Distance to Entry: $1,362.01
⌛ 01:18:28 | BTC: $70,404.79 | Distance to Entry: $1,354.79
⌛ 01:18:58 | BTC: $70,401.36 | Distance to Entry: $1,351.36
⌛ 01:19:28 | BTC: $70,419.00 | Distance to Entry: $1,369.00
⌛ 01:19:59 | BTC: $70,384.15 | Distance to Entry: $1,334.15
⌛ 01:20:29 | BTC: $70,414.98 | Distance to Entry: $1,364.98
⌛ 01:20:59 | BTC: $70,368.01 | Distance to Entry: $1,318.01
⌛ 01:21:29 | BTC: $70,343.81 | Distance to Entry: $1,293.81
⌛ 01:21:59 | BTC: $70,360.00 | Distance to Entry: $1,310.00
⌛ 01:22:29 | BTC: $70,313.77 | Distance to Entry: $1,263.77
⌛ 01:22:59 | BTC: $70,306.04 | Distance to Entry: $1,256.04
⌛ 01:23:29 | BTC: $70,272.00 | Distance to Entry: $1,222.00
⌛ 01:23:59 | BTC: $70,304.01 | Distance to Entry: $1,254.01
⌛ 01:24:29 | BTC: $70,313.75 | Distance to Entry: $1,263.75
⌛ 01:25:00 | BTC: $70,332.00 | Distance to Entry: $1,282.00
⌛ 01:25:30 | BTC: $70,323.00 | Distance to Entry: $1,273.00
⌛ 01:26:00 | BTC: $70,300.01 | Distance to Entry: $1,250.01
⌛ 01:26:30 | BTC: $70,312.00 | Distance to Entry: $1,262.00
⌛ 01:27:00 | BTC: $70,323.99 | Distance to Entry: $1,273.99
⌛ 01:27:30 | BTC: $70,297.05 | Distance to Entry: $1,247.05
⌛ 01:28:00 | BTC: $70,325.99 | Distance to Entry: $1,275.99
⌛ 01:28:30 | BTC: $70,307.98 | Distance to Entry: $1,257.98
⌛ 01:29:00 | BTC: $70,316.00 | Distance to Entry: $1,266.00
⌛ 01:29:30 | BTC: $70,308.00 | Distance to Entry: $1,258.00
⌛ 01:30:00 | BTC: $70,307.99 | Distance to Entry: $1,257.99
⌛ 01:30:31 | BTC: $70,275.97 | Distance to Entry: $1,225.97
⌛ 01:31:01 | BTC: $70,268.00 | Distance to Entry: $1,218.00
⌛ 01:31:31 | BTC: $70,280.65 | Distance to Entry: $1,230.65
⌛ 01:32:01 | BTC: $70,336.01 | Distance to Entry: $1,286.01
⌛ 01:32:31 | BTC: $70,339.77 | Distance to Entry: $1,289.77
⌛ 01:33:01 | BTC: $70,362.22 | Distance to Entry: $1,312.22
⌛ 01:33:31 | BTC: $70,368.28 | Distance to Entry: $1,318.28
⌛ 01:34:01 | BTC: $70,367.59 | Distance to Entry: $1,317.59
⌛ 01:34:31 | BTC: $70,363.45 | Distance to Entry: $1,313.45
⌛ 01:35:02 | BTC: $70,365.34 | Distance to Entry: $1,315.34
⌛ 01:35:32 | BTC: $70,319.86 | Distance to Entry: $1,269.86
⌛ 01:36:02 | BTC: $70,301.01 | Distance to Entry: $1,251.01
⌛ 01:36:32 | BTC: $70,310.93 | Distance to Entry: $1,260.93
⌛ 01:37:02 | BTC: $70,289.48 | Distance to Entry: $1,239.48
⌛ 01:37:32 | BTC: $70,274.20 | Distance to Entry: $1,224.20
⌛ 01:38:02 | BTC: $70,280.60 | Distance to Entry: $1,230.60
⌛ 01:38:32 | BTC: $70,288.92 | Distance to Entry: $1,238.92
⌛ 01:39:02 | BTC: $70,279.00 | Distance to Entry: $1,229.00
⌛ 01:39:33 | BTC: $70,269.82 | Distance to Entry: $1,219.82
⌛ 01:40:03 | BTC: $70,265.99 | Distance to Entry: $1,215.99
⌛ 01:40:33 | BTC: $70,264.13 | Distance to Entry: $1,214.13
⌛ 01:41:03 | BTC: $70,289.92 | Distance to Entry: $1,239.92
⌛ 01:41:33 | BTC: $70,324.01 | Distance to Entry: $1,274.01
⌛ 01:42:03 | BTC: $70,300.02 | Distance to Entry: $1,250.02
⌛ 01:42:33 | BTC: $70,313.99 | Distance to Entry: $1,263.99
⌛ 01:43:03 | BTC: $70,324.01 | Distance to Entry: $1,274.01
⌛ 01:43:33 | BTC: $70,355.16 | Distance to Entry: $1,305.16
⌛ 01:44:03 | BTC: $70,314.01 | Distance to Entry: $1,264.01
⌛ 01:44:34 | BTC: $70,309.73 | Distance to Entry: $1,259.73
⌛ 01:45:04 | BTC: $70,334.87 | Distance to Entry: $1,284.87
⌛ 01:45:34 | BTC: $70,369.28 | Distance to Entry: $1,319.28
⌛ 01:46:04 | BTC: $70,392.41 | Distance to Entry: $1,342.41
⌛ 01:46:34 | BTC: $70,396.57 | Distance to Entry: $1,346.57
⌛ 01:47:04 | BTC: $70,380.39 | Distance to Entry: $1,330.39
⌛ 01:47:34 | BTC: $70,367.58 | Distance to Entry: $1,317.58
⌛ 01:48:04 | BTC: $70,338.71 | Distance to Entry: $1,288.71
⌛ 01:48:34 | BTC: $70,305.52 | Distance to Entry: $1,255.52
⌛ 01:49:05 | BTC: $70,288.48 | Distance to Entry: $1,238.48
⌛ 01:49:35 | BTC: $70,284.80 | Distance to Entry: $1,234.80
⌛ 01:50:05 | BTC: $70,330.32 | Distance to Entry: $1,280.32
⌛ 01:50:35 | BTC: $70,309.64 | Distance to Entry: $1,259.64
⌛ 01:51:05 | BTC: $70,309.64 | Distance to Entry: $1,259.64
⌛ 01:51:35 | BTC: $70,335.99 | Distance to Entry: $1,285.99
⌛ 01:52:05 | BTC: $70,362.21 | Distance to Entry: $1,312.21
⌛ 01:52:35 | BTC: $70,339.09 | Distance to Entry: $1,289.09
⌛ 01:53:05 | BTC: $70,325.27 | Distance to Entry: $1,275.27
⌛ 01:53:36 | BTC: $70,318.15 | Distance to Entry: $1,268.15
⌛ 01:54:06 | BTC: $70,314.00 | Distance to Entry: $1,264.00
⌛ 01:54:36 | BTC: $70,294.94 | Distance to Entry: $1,244.94
⌛ 01:55:06 | BTC: $70,274.00 | Distance to Entry: $1,224.00
⌛ 01:55:36 | BTC: $70,255.05 | Distance to Entry: $1,205.05
⌛ 01:56:06 | BTC: $70,259.93 | Distance to Entry: $1,209.93
⌛ 01:56:36 | BTC: $70,266.01 | Distance to Entry: $1,216.01
⌛ 01:57:06 | BTC: $70,255.80 | Distance to Entry: $1,205.80
⌛ 01:57:37 | BTC: $70,260.56 | Distance to Entry: $1,210.56
⌛ 01:58:07 | BTC: $70,262.02 | Distance to Entry: $1,212.02
